AGE,SEXE,BEN_REG,DNB,REM,BSE
0,2,93,131,1172.67,1974.25
0,2,93,63,591.07,946.75
0,2,84,19,180.76,292.1
0,2,84,62,612.28,941.1
0,2,84,134,1234.53,2046.75
0,2,84,28,262.86,428.2
0,2,76,26,264.21,401.2
0,2,76,81,743.01,1227.55
0,2,76,28,271.41,422.2
0,2,75,51,510.76,769.65
0,2,75,89,827.76,1358
0,2,75,26,255.3,394.45
0,2,53,16,157.71,242.15
0,2,53,34,307.59,512.65
0,2,52,15,159.72,225.7
0,2,52,47,431.37,718.95
0,2,52,14,127.32,212.2
0,2,44,18,167.01,278.35
0,2,44,52,497.66,801.3
0,2,44,110,1031.72,1674.65
0,2,44,25,224.67,374.45
0,2,32,44,409.35,671.45
0,2,32,115,1044.07,1736.4
0,2,32,53,482.46,794.2
0,2,28,24,220.47,367.45
0,2,28,28,261.48,425
0,2,28,27,250.86,408.2
0,2,27,56,514.09,853.1
0,2,27,91,827.4,1379
0,2,27,39,368.07,593.65
0,2,24,13,129.55,197.35
0,2,24,31,292.96,469.2
0,2,24,49,461.68,741.9
0,2,11,22,215.73,338.85
0,2,11,124,1176.07,1864.8
0,2,11,325,2973.29,4948.4
0,2,11,69,651.72,1054.25
0,2,5,20,210.63,351.05
0,2,5,99,1063.53,1790.7
0,2,5,66,693.57,1183.85
0,1,99,14,170.16,220.35
0,1,99,11,105.78,169.35
0,1,11,19,181.86,293.2
